cycle,algorithm,onu_id,cls,size_bytes,arrival_ns,start_ns,end_ns,queue_delay_ns
0,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,0,0,160,0
0,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,0,160,320,160
0,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,0,320,480,320
0,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,480,1680,480
0,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,1680,2880,1680
0,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,2880,4080,2880
0,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,4080,5280,4080
0,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,5280,6480,5280
0,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,6480,7680,6480
0,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,7680,8880,7680
0,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,8880,10080,8880
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,0,11092,11252,11092
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,0,11252,11412,11252
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,0,11412,11572,11412
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,11572,12772,11572
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,12772,13972,12772
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,13972,15172,13972
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,15172,16372,15172
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,16372,17572,16372
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,17572,18772,17572
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,18772,19972,18772
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,19972,21172,19972
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,21172,22372,21172
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,22372,23572,22372
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,23572,24772,23572
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,24772,25972,24772
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,25972,27172,25972
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,27172,28372,27172
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,28372,29572,28372
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,29572,30772,29572
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,30772,31972,30772
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,31972,33172,31972
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,33172,34372,33172
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,34372,35572,34372
0,gated,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,0,36607,36767,36607
0,gated,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,0,36767,36927,36767
0,gated,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,0,36927,37087,36927
0,gated,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,37087,38287,37087
0,gated,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,38287,39487,38287
0,gated,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,39487,40687,39487
0,gated,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,40687,41887,40687
0,gated,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,41887,43087,41887
0,gated,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,43087,44287,43087
0,gated,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,44287,45487,44287
0,gated,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,45487,46687,45487
1,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,47687,47687,47847,0
1,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,47687,47847,48007,160
1,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,47687,48007,48167,320
1,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,47687,48167,49367,480
1,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,47687,49367,50567,1680
1,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,47687,50567,51767,2880
1,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,47687,51767,52967,4080
1,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,47687,52967,54167,5280
1,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,47687,54167,55367,6480
