cycle,algorithm,onu_id,offered_bytes,served_bytes,backlog_bytes
22,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,607,11100,12204
22,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,607,600,2580
22,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,560,1900,2053
23,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,608,11100,1843
23,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,611,600,2695
23,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,643,800,2093
24,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,624,600,2006
24,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,621,600,2831
24,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12620,11100,3653
25,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,12599,11100,3668
25,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,564,600,2931
25,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,614,2100,2227
26,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,583,2100,2313
26,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,595,600,3026
26,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,578,600,2279
27,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,42583,11100,33941
27,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,42629,11100,34650
27,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,613,600,2344
28,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,30620,11100,53589
28,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,652,11100,24326
28,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12646,11100,3955
29,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,577,11100,43214
29,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,591,11100,13993
29,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,615,2100,2581
30,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,581,11100,32820
30,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,587,11100,3647
30,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,610,600,2717
31,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,576,11100,22402
31,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,597,600,3798
31,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,621,600,2874
32,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,640,11100,12024
32,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12625,11100,5474
32,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,584,600,3015
33,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,632,9600,3178
33,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12591,11100,7141
33,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12585,11100,4641
34,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,603,600,3335
34,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,603,3600,4311
34,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,615,2100,3282
35,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,30583,11100,22975
35,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30590,11100,23971
35,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,594,600,3417
36,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,603,11100,12618
36,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30604,11100,43635
36,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,610,600,3562
37,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,618,9600,3779
37,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,572,11100,33271
37,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,30648,11100,23255
38,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,30594,11100,23434
38,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30602,11100,52909
38,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,621,11300,12769
39,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,622,11100,13111
39,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30587,11100,72534
39,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,575,9400,3958
40,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,617,9600,4305
40,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,594,11100,62153
40,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,653,800,4000
41,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,603,600,4502
41,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12597,11100,63769
41,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,583,600,4025
42,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,601,600,4700
42,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,609,11100,53394
42,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,42595,11100,35545
43,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,605,800,4703
43,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,568,11100,42987
43,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,659,11100,25124
44,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,30585,10900,24391
44,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,604,11100,32584
44,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,605,11100,14708
45,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,590,11100,14069
45,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12577,11100,34158
45,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,562,11100,4254
46,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,632,9800,5079
46,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,583,11100,23715
46,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,611,600,4311
47,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,570,400,5259
