cycle,algorithm,onu_id,grant_bytes,start_ns,end_ns
22,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,400,477178,478498
22,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,480140,481620
22,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,483684,485164
23,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,800,485164,486804
23,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,488478,489958
23,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,492114,493594
24,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,493594,504674
24,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,506396,507876
24,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,510140,511620
25,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,511620,513100
25,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,514881,516361
25,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12600,518705,529785
26,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,529785,531265
26,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,533088,534568
26,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,536988,538468
27,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,538468,539948
27,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,42600,541823,576903
27,gated,65298be0-01e9-4bf4-9842-ae24b342999c,42600,579423,614503
28,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,614503,625583
28,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,627547,629027
28,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30600,631687,657167
29,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,657167,658647
29,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,660711,662191
29,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,664985,666465
30,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,666465,667945
30,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,670118,671598
30,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,674515,675995
31,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,675995,677475
31,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,679774,681254
31,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,684292,685772
32,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,685772,687252
32,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12600,689664,700744
32,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,703923,705403
33,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,705403,716483
33,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12600,718995,730075
33,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,733387,734867
34,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,734867,736347
34,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,738972,740452
34,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,743900,745380
35,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,745380,746860
35,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30600,749593,775073
35,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30600,778649,804129
36,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,804129,805609
36,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30600,808458,833938
36,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,837646,839126
37,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,30600,839126,864606
37,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,867610,869090
37,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,872906,874386
38,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,800,874386,876026
38,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30600,879041,904521
38,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30600,908448,933928
39,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,400,933928,935248
39,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30600,938414,963894
39,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,967921,969401
40,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,800,969401,971041
40,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,974241,975721
40,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,979843,981323
41,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,981323,982803
41,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12600,986023,997103
41,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1001318,1002798
42,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,42600,1002798,1037878
42,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1041114,1042594
42,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1046909,1048389
43,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1048389,1049869
43,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1053168,1054648
43,gated,65298be0-01e9-4bf4-9842-ae24b342999c,800,1059037,1060677
44,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1060677,1062157
44,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1065523,1067003
44,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30400,1071470,1096790
45,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1096790,1098270
45,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12600,1101673,1112753
45,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1117279,1118759
46,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1118759,1120239
46,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1123687,1125167
46,gated,65298be0-01e9-4bf4-9842-ae24b342999c,800,1129739,1131379
47,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,1131379,1142459
47,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12600,1145944,1157024
47,gated,65298be0-01e9-4bf4-9842-ae24b342999c,400,1161632,1162952
48,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1162952,1164432
48,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1167959,1169439
48,gated,65298be0-01e9-4bf4-9842-ae24b342999c,800,1174061,1175701
49,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1175701,1177181
49,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,400,1180742,1182062
49,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1186814,1188294
50,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1188294,1189774
50,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1193362,1194842
50,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1199730,1201210
51,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1201210,1202690
51,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1206302,1207782
51,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1212798,1214278
52,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1214278,1215758
52,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1219391,1220871
52,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1226007,1227487
53,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1227487,1228967
53,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12600,1232641,1243721
53,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1249013,1250493
54,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1250493,1251973
54,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12600,1255673,1266753
54,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1272186,1273666
55,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1273666,1275146
55,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1278883,1280363
55,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1285923,1287403
56,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,1287403,1298483
56,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1302267,1303747
56,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12600,1309434,1320514
57,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,42600,1320514,1355594
57,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1359434,1360914
57,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1366725,1368205
58,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1368205,1369685
58,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1373563,1375043
58,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1380990,1382470
59,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,1382470,1393550
59,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1397464,1398944
59,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30600,1405039,1430519
60,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1430519,1431999
60,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,800,1435920,1437560
60,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30400,1443672,1468992
61,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1468992,1470472
61,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1474412,1475892
61,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1482026,1483506
62,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,1483506,1494586
62,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1498562,1500042
62,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1506242,1507722
63,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1507722,1509202
63,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1513248,1514728
63,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1521007,1522487
64,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1522487,1523967
64,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1528031,1529511
64,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1535859,1537339
65,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1537339,1538819
65,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1542901,1544381
65,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30600,1550815,1576295
66,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1576295,1577775
66,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1581901,1583381
66,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1589951,1591431
67,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,30600,1591431,1616911
67,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1621094,1622574
67,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12600,1629258,1640338
68,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1640338,1641818
68,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1646025,1647505
68,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1654312,1655792
69,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,1655792,1666872
69,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1671127,1672607
69,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1679529,1681009
70,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,1681009,1692089
70,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1696405,1697885
