cycle,algorithm,utilization,fairness_jain
0,limited,0.8031496062992126,1.0
1,limited,0.8031496062992126,1.0
2,limited,0.7863247863247863,0.976915974145891
3,limited,0.7989276139410187,0.9996397856724751
4,limited,0.8051948051948052,0.999667124370657
5,limited,0.8031496062992126,1.0
6,limited,0.8031496062992126,1.0
7,limited,0.8031496062992126,1.0
8,limited,0.8031496062992126,1.0
9,limited,0.8010610079575596,0.9996492612565215
10,limited,0.8031496062992126,1.0
11,limited,0.8051948051948052,0.999667124370657
12,limited,0.8031496062992126,1.0
13,limited,0.8031496062992126,1.0
14,limited,0.8031496062992126,1.0
15,limited,0.8031496062992126,1.0
16,limited,0.8031496062992126,1.0
17,limited,0.7863247863247863,0.976915974145891
18,limited,0.8031496062992126,1.0
19,limited,0.8031496062992126,1.0
20,limited,0.8031496062992126,1.0
21,limited,0.8031496062992126,1.0
22,limited,0.8010610079575596,0.9996492612565215
23,limited,0.8051948051948052,0.999667124370657
24,limited,0.8031496062992126,1.0
25,limited,0.8031496062992126,1.0
26,limited,0.8031496062992126,1.0
27,limited,0.8031496062992126,1.0
28,limited,0.8031496062992126,1.0
29,limited,0.8031496062992126,1.0
30,limited,0.8031496062992126,1.0
31,limited,0.8031496062992126,1.0
32,limited,0.8031496062992126,1.0
33,limited,0.8031496062992126,1.0
34,limited,0.8031496062992126,1.0
35,limited,0.8031496062992126,1.0
36,limited,0.8031496062992126,1.0
37,limited,0.8031496062992126,1.0
38,limited,0.8051948051948052,0.999667124370657
39,limited,0.8010610079575596,0.9996492612565215
40,limited,0.8051948051948052,0.999667124370657
41,limited,0.8031496062992126,1.0
42,limited,0.8031496062992126,1.0
43,limited,0.8051948051948052,0.999667124370657
44,limited,0.8010610079575596,0.9996492612565215
45,limited,0.8031496062992126,1.0
46,limited,0.8051948051948052,0.999667124370657
47,limited,0.8010610079575596,0.9996492612565215
48,limited,0.8051948051948052,0.999667124370657
49,limited,0.8010610079575596,0.9996492612565215
50,limited,0.8031496062992126,1.0
51,limited,0.8031496062992126,1.0
52,limited,0.8031496062992126,1.0
53,limited,0.8031496062992126,1.0
54,limited,0.8031496062992126,1.0
55,limited,0.8031496062992126,1.0
56,limited,0.8031496062992126,1.0
57,limited,0.8031496062992126,1.0
58,limited,0.8031496062992126,1.0
59,limited,0.8031496062992126,1.0
60,limited,0.8031496062992126,0.998975803354244
61,limited,0.8031496062992126,1.0
62,limited,0.8031496062992126,1.0
63,limited,0.8031496062992126,1.0
64,limited,0.8031496062992126,1.0
65,limited,0.8031496062992126,1.0
66,limited,0.8031496062992126,1.0
67,limited,0.8031496062992126,1.0
68,limited,0.8031496062992126,1.0
69,limited,0.8031496062992126,1.0
70,limited,0.8031496062992126,1.0
71,limited,0.8031496062992126,1.0
72,limited,0.8031496062992126,1.0
73,limited,0.8031496062992126,1.0
74,limited,0.8031496062992126,1.0
75,limited,0.8010610079575596,0.9996492612565215
76,limited,0.8031496062992126,1.0
77,limited,0.8051948051948052,0.999667124370657
78,limited,0.8031496062992126,1.0
79,limited,0.8031496062992126,1.0
80,limited,0.8031496062992126,1.0
81,limited,0.8051948051948052,0.999667124370657
82,limited,0.8031496062992126,1.0
83,limited,0.8031496062992126,1.0
84,limited,0.8031496062992126,1.0
85,limited,0.8031496062992126,1.0
86,limited,0.8031496062992126,1.0
87,limited,0.8010610079575596,0.9996492612565215
88,limited,0.8031496062992126,1.0
89,limited,0.8031496062992126,1.0
90,limited,0.8031496062992126,1.0
91,limited,0.8031496062992126,1.0
92,limited,0.8031496062992126,1.0
93,limited,0.8031496062992126,1.0
94,limited,0.8031496062992126,1.0
95,limited,0.8031496062992126,1.0
96,limited,0.8031496062992126,1.0
97,limited,0.8031496062992126,1.0
98,limited,0.8031496062992126,1.0
99,limited,0.8031496062992126,1.0
100,limited,0.8051948051948052,0.999667124370657
101,limited,0.8031496062992126,1.0
102,limited,0.8031496062992126,1.0
103,limited,0.8031496062992126,1.0
104,limited,0.8031496062992126,1.0
105,limited,0.8031496062992126,1.0
106,limited,0.8031496062992126,1.0
107,limited,0.8031496062992126,1.0
108,limited,0.8031496062992126,1.0
109,limited,0.8031496062992126,1.0
110,limited,0.8031496062992126,1.0
111,limited,0.8031496062992126,1.0
112,limited,0.8031496062992126,1.0
113,limited,0.8031496062992126,1.0
114,limited,0.8031496062992126,1.0
115,limited,0.8010610079575596,0.9996492612565215
116,limited,0.8031496062992126,0.998975803354244
117,limited,0.8031496062992126,1.0
118,limited,0.8051948051948052,0.999667124370657
119,limited,0.8031496062992126,1.0
120,limited,0.8031496062992126,1.0
121,limited,0.8031496062992126,1.0
122,limited,0.8031496062992126,1.0
123,limited,0.8031496062992126,1.0
124,limited,0.8031496062992126,1.0
125,limited,0.8031496062992126,1.0
126,limited,0.8051948051948052,0.999667124370657
127,limited,0.8031496062992126,1.0
128,limited,0.8010610079575596,0.9996492612565215
129,limited,0.8031496062992126,1.0
130,limited,0.8031496062992126,1.0
131,limited,0.8031496062992126,1.0
132,limited,0.8031496062992126,1.0
133,limited,0.8051948051948052,0.999667124370657
134,limited,0.8051948051948052,0.999667124370657
135,limited,0.8010610079575596,0.9996492612565215
136,limited,0.8031496062992126,1.0
137,limited,0.8031496062992126,1.0
138,limited,0.8051948051948052,0.999667124370657
139,limited,0.8031496062992126,1.0
140,limited,0.8031496062992126,1.0
141,limited,0.8031496062992126,1.0
142,limited,0.8031496062992126,1.0
143,limited,0.8031496062992126,1.0
144,limited,0.8031496062992126,1.0
145,limited,0.8010610079575596,0.9996492612565215
146,limited,0.8010610079575596,0.9996492612565215
147,limited,0.8031496062992126,1.0
148,limited,0.7422680412371134,0.7422680412371134
149,limited,0.7422680412371134,0.7422680412371134
150,limited,0.7457627118644068,0.7406047251805606
151,limited,0.7386759581881533,0.7434166997485775
152,limited,0.7422680412371134,0.7422680412371134
153,limited,0.7422680412371134,0.7422680412371134
154,limited,0.7422680412371134,0.7422680412371134
155,limited,0.7422680412371134,0.7422680412371134
156,limited,0.8031496062992126,1.0
157,limited,0.8031496062992126,1.0
158,limited,0.7863247863247863,0.976915974145891
159,limited,0.8031496062992126,1.0
160,limited,0.8031496062992126,1.0
161,limited,0.7887323943661971,0.9742519137091162
162,limited,0.7386759581881533,0.7434166997485775
163,limited,0.7422680412371134,0.7422680412371134
164,limited,0.7457627118644068,0.7659197366755286
165,limited,0.7422680412371134,0.7165499447106524
166,limited,0.7422680412371134,0.7422680412371134
167,limited,0.7422680412371134,0.7422680412371134
168,limited,0.8031496062992126,1.0
169,limited,0.8031496062992126,1.0
170,limited,0.8031496062992126,1.0
171,limited,0.8031496062992126,1.0
172,limited,0.8031496062992126,1.0
173,limited,0.8031496062992126,1.0
174,limited,0.8031496062992126,1.0
175,limited,0.8031496062992126,1.0
176,limited,0.8031496062992126,1.0
177,limited,0.8031496062992126,1.0
178,limited,0.8031496062992126,1.0
179,limited,0.8010610079575596,0.9996492612565215
180,limited,0.8051948051948052,0.999667124370657
181,limited,0.8031496062992126,1.0
182,limited,0.8051948051948052,0.999667124370657
183,limited,0.8010610079575596,0.9996492612565215
184,limited,0.8010610079575596,0.9996492612565215
185,limited,0.8031496062992126,1.0
186,limited,0.8031496062992126,1.0
187,limited,0.8031496062992126,1.0
188,limited,0.8051948051948052,0.999667124370657
189,limited,0.8031496062992126,1.0
190,limited,0.8031496062992126,1.0
191,limited,0.8010610079575596,0.9996492612565215
192,limited,0.8031496062992126,1.0
193,limited,0.8031496062992126,1.0
194,limited,0.8031496062992126,1.0
195,limited,0.8031496062992126,1.0
196,limited,0.8031496062992126,1.0
197,limited,0.8051948051948052,0.999667124370657
198,limited,0.8031496062992126,1.0
199,limited,0.8010610079575596,0.9996492612565215
